total_off_points,total_tds,td_pct,pass_pct_defense,rec_td_pct,receiving_touchdown,total_off_yards,ypa,win_pct,team,season
233.0,32.0,0.03,0.51,0.019,11.0,4587,5.76,0.312,ARI,2012
408.0,76.0,0.05,0.59,0.053,32.0,6116,7.85,0.778,ATL,2012
383.0,63.0,0.05,0.55,0.04,22.0,5897,7.28,0.7,BAL,2012
338.0,63.0,0.05,0.55,0.049,24.0,5647,6.94,0.375,BUF,2012
346.0,61.0,0.05,0.59,0.04,19.0,5989,8.22,0.438,CAR,2012
323.0,54.0,0.04,0.62,0.045,21.0,5268,7.03,0.625,CHI,2012
371.0,67.0,0.05,0.59,0.053,28.0,5552,7.27,0.588,CIN,2012
292.0,45.0,0.04,0.58,0.029,16.0,5261,6.69,0.312,CLE,2012
367.0,68.0,0.05,0.55,0.045,29.0,6257,7.81,0.5,DAL,2012
437.0,87.0,0.06,0.6,0.064,37.0,6503,8.1,0.765,DEN,2012
388.0,63.0,0.04,0.58,0.03,22.0,6752,7.11,0.25,DET,2012
415.0,90.0,0.07,0.59,0.073,40.0,6044,7.89,0.667,GB,2012
390.0,64.0,0.05,0.61,0.041,22.0,6169,7.48,0.722,HOU,2012
342.0,60.0,0.04,0.57,0.038,23.0,6045,7.17,0.647,IND,2012
272.0,48.0,0.04,0.5,0.035,20.0,5115,6.58,0.125,JAX,2012
220.0,27.0,0.02,0.5,0.018,8.0,5332,6.45,0.125,KC,2012
270.0,49.0,0.04,0.57,0.041,22.0,5497,6.97,0.5,LA,2012
309.0,58.0,0.05,0.6,0.051,26.0,5067,7.03,0.438,LAC,2012
292.0,52.0,0.04,0.55,0.039,24.0,5712,7.0,0.25,LV,2012
284.0,43.0,0.04,0.6,0.026,13.0,5227,6.98,0.438,MIA,2012
356.0,53.0,0.04,0.6,0.038,18.0,5569,6.23,0.588,MIN,2012
519.0,95.0,0.06,0.6,0.054,34.0,7028,7.66,0.722,NE,2012
434.0,96.0,0.07,0.58,0.066,43.0,6764,7.96,0.438,NO,2012
419.0,71.0,0.06,0.56,0.05,26.0,5829,7.57,0.562,NYG,2012
271.0,43.0,0.03,0.51,0.03,14.0,5074,6.7,0.375,NYJ,2012
287.0,47.0,0.03,0.52,0.03,18.0,5949,6.76,0.25,PHI,2012
340.0,63.0,0.05,0.59,0.048,27.0,5549,7.16,0.5,PIT,2012
385.0,71.0,0.06,0.62,0.068,27.0,5813,8.19,0.667,SEA,2012
390.0,66.0,0.05,0.59,0.054,23.0,6042,8.3,0.684,SF,2012
369.0,67.0,0.05,0.63,0.049,27.0,5981,7.55,0.438,TB,2012
297.0,47.0,0.04,0.56,0.032,17.0,5264,6.83,0.375,TEN,2012
418.0,73.0,0.06,0.65,0.055,24.0,6375,8.45,0.588,WAS,2012
346.0,60.0,0.04,0.64,0.043,24.0,5831,7.77,0.625,ARI,2013
339.0,63.0,0.04,0.55,0.04,26.0,5788,7.07,0.25,ATL,2013
313.0,46.0,0.03,0.57,0.032,19.0,5242,6.57,0.5,BAL,2013
330.0,48.0,0.04,0.57,0.032,16.0,5680,6.65,0.375,BUF,2013
342.0,62.0,0.05,0.64,0.052,24.0,5405,7.35,0.706,CAR,2013
410.0,77.0,0.06,0.53,0.057,32.0,6278,7.86,0.5,CHI,2013
397.0,81.0,0.06,0.63,0.058,33.0,6073,7.62,0.647,CIN,2013
287.0,57.0,0.04,0.58,0.039,26.0,5755,6.61,0.25,CLE,2013
404.0,78.0,0.06,0.6,0.057,33.0,5730,7.36,0.5,DAL,2013
584.0,127.0,0.08,0.61,0.083,55.0,7445,8.38,0.789,DEN,2013
377.0,74.0,0.05,0.62,0.047,29.0,6442,7.56,0.438,DET,2013
403.0,68.0,0.05,0.57,0.045,25.0,6674,8.19,0.471,GB,2013
275.0,46.0,0.03,0.53,0.031,19.0,5926,6.85,0.125,HOU,2013
383.0,62.0,0.05,0.56,0.04,23.0,5695,6.91,0.667,IND,2013
233.0,39.0,0.03,0.53,0.028,16.0,5011,6.57,0.25,JAX,2013
377.0,67.0,0.05,0.6,0.045,24.0,5617,6.62,0.647,KC,2013
315.0,54.0,0.04,0.57,0.044,22.0,5112,6.79,0.438,LA,2013
393.0,73.0,0.05,0.61,0.06,32.0,6443,8.4,0.556,LAC,2013
319.0,53.0,0.04,0.57,0.034,17.0,5629,7.27,0.25,LV,2013
305.0,56.0,0.04,0.56,0.042,24.0,5406,6.9,0.5,MIA,2013
389.0,62.0,0.05,0.6,0.034,18.0,5726,6.92,0.375,MIN,2013
429.0,69.0,0.05,0.57,0.041,25.0,6408,7.04,0.722,NE,2013
416.0,88.0,0.06,0.59,0.061,39.0,6635,8.08,0.667,NO,2013
300.0,50.0,0.04,0.58,0.033,18.0,5207,7.2,0.438,NYG,2013
282.0,38.0,0.03,0.6,0.028,13.0,5428,7.14,0.5,NYJ,2013
440.0,85.0,0.06,0.61,0.064,32.0,6954,8.83,0.588,PHI,2013
355.0,65.0,0.05,0.58,0.049,28.0,5689,7.53,0.5,PIT,2013
396.0,69.0,0.06,0.57,0.066,27.0,5696,8.54,0.842,SEA,2013
375.0,60.0,0.05,0.61,0.051,21.0,5411,7.85,0.737,SF,2013
270.0,50.0,0.04,0.57,0.044,22.0,4793,6.34,0.25,TB,2013
346.0,60.0,0.05,0.56,0.043,22.0,5604,7.18,0.438,TEN,2013
330.0,58.0,0.04,0.55,0.034,20.0,6221,6.85,0.188,WAS,2013
281.0,48.0,0.04,0.61,0.038,21.0,5298,7.18,0.647,ARI,2014
368.0,67.0,0.05,0.56,0.045,28.0,6256,7.71,0.375,ATL,2014
395.0,71.0,0.05,0.62,0.05,27.0,6005,7.35,0.611,BAL,2014
325.0,54.0,0.04,0.6,0.041,23.0,5338,6.81,0.562,BUF,2014
340.0,59.0,0.04,0.6,0.043,23.0,5856,7.18,0.5,CAR,2014
321.0,70.0,0.05,0.58,0.051,30.0,5476,6.84,0.312,CHI,2014
362.0,60.0,0.05,0.59,0.041,20.0,5698,7.31,0.588,CIN,2014
280.0,41.0,0.03,0.55,0.025,12.0,5406,7.57,0.438,CLE,2014
457.0,91.0,0.07,0.6,0.08,37.0,6362,8.62,0.722,DAL,2014
470.0,96.0,0.07,0.66,0.068,40.0,6564,8.07,0.706,DEN,2014
313.0,56.0,0.04,0.64,0.037,22.0,5706,7.24,0.647,DET,2014
455.0,91.0,0.07,0.57,0.072,38.0,6364,8.39,0.722,GB,2014
336.0,56.0,0.04,0.61,0.047,22.0,5621,7.33,0.562,HOU,2014
451.0,93.0,0.06,0.58,0.065,42.0,6674,7.85,0.684,IND,2014
240.0,40.0,0.03,0.54,0.028,15.0,5084,6.4,0.188,JAX,2014
341.0,56.0,0.05,0.58,0.037,18.0,5346,7.04,0.562,KC,2014
308.0,52.0,0.04,0.58,0.04,20.0,5330,7.4,0.375,LA,2014
330.0,68.0,0.05,0.56,0.056,31.0,5663,7.73,0.562,LAC,2014
251.0,49.0,0.04,0.54,0.036,22.0,4696,5.64,0.188,LV,2014
370.0,67.0,0.05,0.56,0.046,27.0,5938,6.97,0.5,MIA,2014
302.0,48.0,0.04,0.56,0.034,17.0,5370,7.15,0.438,MIN,2014
440.0,81.0,0.06,0.59,0.057,34.0,6018,7.15,0.789,NE,2014
401.0,82.0,0.05,0.56,0.051,33.0,6770,7.71,0.438,NO,2014
389.0,75.0,0.05,0.56,0.051,30.0,6073,7.54,0.375,NYG,2014
290.0,44.0,0.03,0.59,0.033,16.0,5449,6.64,0.25,NYJ,2014
429.0,73.0,0.05,0.58,0.045,27.0,6573,7.64,0.625,PHI,2014
399.0,76.0,0.05,0.61,0.055,33.0,6749,8.3,0.647,PIT,2014
386.0,62.0,0.05,0.59,0.045,20.0,6254,7.81,0.737,SEA,2014
302.0,52.0,0.04,0.59,0.042,20.0,5583,7.14,0.5,SF,2014
267.0,50.0,0.04,0.56,0.041,21.0,4998,7.09,0.125,TB,2014
242.0,46.0,0.04,0.53,0.04,20.0,5185,7.52,0.125,TEN,2014
317.0,53.0,0.04,0.57,0.034,18.0,6152,8.43,0.25,WAS,2014
450.0,87.0,0.06,0.62,0.064,35.0,6692,8.7,0.778,ARI,2015
328.0,57.0,0.04,0.58,0.035,21.0,6208,7.62,0.5,ATL,2015
309.0,50.0,0.03,0.58,0.032,21.0,5927,6.79,0.312,BAL,2015
361.0,65.0,0.05,0.61,0.05,23.0,6032,7.89,0.5,BUF,2015
483.0,91.0,0.07,0.65,0.071,35.0,6155,7.89,0.895,CAR,2015
345.0,56.0,0.04,0.56,0.041,21.0,5697,7.52,0.375,CHI,2015
416.0,80.0,0.06,0.66,0.062,31.0,5909,8.27,0.706,CIN,2015
274.0,47.0,0.03,0.54,0.034,20.0,5685,6.96,0.188,CLE,2015
266.0,40.0,0.03,0.54,0.032,16.0,5567,7.27,0.25,DAL,2015
320.0,51.0,0.04,0.6,0.033,19.0,5934,7.23,0.789,DEN,2015
